country_name,iso3,year,health_expenditure_pct_gdp,country_code,vaccination_coverage_pct,vaccination_capacity_daily,active_who_alerts,outbreak_deaths
Afghanistan,,2021,,,9.13,70761.0,,
Afghanistan,,2022,,,26.15,190328.0,,
Afghanistan,,2023,,,44.67,218908.0,,
Africa,,2021,,,8.74,2451504.0,,
Africa,,2022,,,27.47,4180515.0,,
Africa,,2023,,,32.41,1095257.0,,
Albania,,2021,,,36.28,17565.0,,
Albania,,2022,,,44.68,16639.0,,
Albania,,2023,,,45.01,663.0,,
Algeria,,2021,,,12.49,256927.0,,
Algeria,,2022,,,14.43,204830.0,,
Andorra,,2021,,,64.37,1762.0,,
Andorra,,2022,,,66.99,1266.0,,
Andorra,,2023,,,67.01,12.0,,
Angola,,2021,,,11.04,183173.0,,
Angola,,2022,,,23.19,144266.0,,
Angola,,2023,,,27.0,46854.0,,
Anguilla,,2021,,,58.09,331.0,,
Anguilla,,2022,,,65.33,38.0,,
Anguilla,,2023,,,65.38,5.0,,
Antigua and Barbuda,,2021,,,62.77,1278.0,,
Antigua and Barbuda,,2022,,,66.53,201.0,,
Argentina,ARG,2000,4.499,AR,,,,
Argentina,ARG,2001,4.594,AR,,,,
Argentina,ARG,2002,4.034,AR,,,,
Argentina,ARG,2003,3.774,AR,,,,
Argentina,ARG,2004,3.746,AR,,,,
Argentina,ARG,2005,3.915,AR,,,,
Argentina,ARG,2006,4.019,AR,,,,
Argentina,ARG,2007,4.257,AR,,,,
Argentina,ARG,2008,4.509,AR,,,,
Argentina,ARG,2009,5.672,AR,,,,
Argentina,ARG,2010,5.572,AR,,,,
Argentina,ARG,2011,5.688,AR,,,,
Argentina,ARG,2012,6.144,AR,,,,
Argentina,ARG,2013,6.264,AR,,,,
Argentina,ARG,2014,6.361,AR,,,,
Argentina,ARG,2015,6.853,AR,,,,
Argentina,ARG,2016,6.472,AR,,,,
Argentina,ARG,2017,6.74,AR,,,,
Argentina,ARG,2018,6.151,AR,,,,
Argentina,ARG,2019,6.245,AR,,,,
Argentina,ARG,2020,7.078,AR,0.0,20102.0,,
Argentina,,2021,,,67.63,391365.0,,
Argentina,,2022,,,76.48,453344.0,,
Argentina,,2023,,,76.69,77963.0,,
Argentina,,2024,,,76.69,16962.0,,
Armenia,,2021,,,24.89,17910.0,,
Armenia,,2022,,,35.45,10318.0,,
Armenia,,2023,,,37.07,3331.0,,
Aruba,,2021,,,74.21,2679.0,,
Aruba,,2022,,,78.89,191.0,,
Aruba,,2023,,,79.24,8.0,,
Aruba,,2024,,,79.25,1.0,,
Asia,,2020,,,0.0,304121.0,,
Asia,,2021,,,56.12,33844798.0,,
Asia,,2022,,,72.11,26050685.0,,
Asia,,2023,,,73.33,3032064.0,,
Asia,,2024,,,73.33,7569.0,,
Australia,AUS,2000,5.189,AS,,,,
Australia,AUS,2001,5.2,AS,,,,
Australia,AUS,2002,5.402,AS,,,,
Australia,AUS,2003,5.36,AS,,,,
Australia,AUS,2004,5.524,AS,,,,
Australia,AUS,2005,5.448,AS,,,,
Australia,AUS,2006,5.445,AS,,,,
Australia,AUS,2007,5.58,AS,,,,
Australia,AUS,2008,5.691,AS,,,,
Australia,AUS,2009,5.92,AS,,,,
Australia,AUS,2010,5.779,AS,,,,
Australia,AUS,2011,5.907,AS,,,,
Australia,AUS,2012,5.855,AS,,,,
Australia,AUS,2013,5.683,AS,,,,
Australia,AUS,2014,6.64,AS,,,,
Australia,AUS,2015,6.975,AS,,,,
Australia,AUS,2016,6.971,AS,,,,
Australia,AUS,2017,7.005,AS,,,,
Australia,AUS,2018,6.996,AS,,,,
Australia,AUS,2019,7.349,AS,,,,
Australia,AUS,2020,7.669,AS,,,,
Australia,,2021,,,75.47,295848.0,,
Australia,,2022,,,82.7,283921.0,,
Australia,,2023,,,,36214.0,,
Austria,AUT,2000,6.994,AU,,,,
Austria,AUT,2001,6.986,AU,,,,
Austria,AUT,2002,7.086,AU,,,,
Austria,AUT,2003,7.149,AU,,,,
Austria,AUT,2004,7.189,AU,,,,
Austria,AUT,2005,7.18,AU,,,,
Austria,AUT,2006,7.161,AU,,,,
Austria,AUT,2007,7.139,AU,,,,
Austria,AUT,2008,7.353,AU,,,,
Austria,AUT,2009,7.74,AU,,,,
Austria,AUT,2010,7.682,AU,,,,
Austria,AUT,2011,7.539,AU,,,,
Austria,AUT,2012,7.676,AU,,,,
Austria,AUT,2013,7.684,AU,,,,
Austria,AUT,2014,7.755,AU,,,,
Austria,AUT,2015,7.741,AU,,,,
Austria,AUT,2016,7.715,AU,,,,
Austria,AUT,2017,7.738,AU,,,,
Austria,AUT,2018,7.776,AU,,,,
Austria,AUT,2019,7.906,AU,,,,
Austria,AUT,2020,8.72,AU,,,,
Austria,,2021,,,70.64,113669.0,,
Austria,,2022,,,74.73,48254.0,,
Austria,,2023,,,74.76,2717.0,,
Azerbaijan,,2021,,,45.15,85991.0,,
Azerbaijan,,2022,,,46.94,52993.0,,
Bahamas,,2021,,,35.94,3473.0,,
Bahamas,,2022,,,40.4,957.0,,
Bahamas,,2023,,,40.73,13.0,,
Bahrain,,2020,,,,11106.0,,
Bahrain,,2021,,,80.01,22003.0,,
Bahrain,,2022,,,83.33,8063.0,,
Bangladesh,,2021,,,23.8,1504836.0,,
Bangladesh,,2022,,,73.41,3758404.0,,
Bangladesh,,2023,,,83.06,1054122.0,,
Bangladesh,,2024,,,83.07,2897.0,,
Barbados,,2021,,,51.01,4526.0,,
Barbados,,2022,,,55.03,5597.0,,
Barbados,,2023,,,55.05,24.0,,
Belarus,,2020,,,,403.0,,
Belarus,,2021,,,33.86,77113.0,,
Belarus,,2022,,,66.42,67398.0,,
Belarus,,2023,,,67.28,36327.0,,
Belgium,BEL,2000,5.968,BE,,,,
Belgium,BEL,2001,6.146,BE,,,,
Belgium,BEL,2002,6.139,BE,,,,
Belgium,BEL,2003,6.783,BE,,,,
Belgium,BEL,2004,6.986,BE,,,,
Belgium,BEL,2005,6.889,BE,,,,
Belgium,BEL,2006,6.801,BE,,,,
Belgium,BEL,2007,6.769,BE,,,,
Belgium,BEL,2008,7.261,BE,,,,
Belgium,BEL,2009,7.838,BE,,,,
Belgium,BEL,2010,7.768,BE,,,,
Belgium,BEL,2011,7.826,BE,,,,
Belgium,BEL,2012,7.986,BE,,,,
Belgium,BEL,2013,7.992,BE,,,,
Belgium,BEL,2014,8.028,BE,,,,
Belgium,BEL,2015,8.26,BE,,,,
Belgium,BEL,2016,8.307,BE,,,,
Belgium,BEL,2017,8.31,BE,,,,
Belgium,BEL,2018,8.321,BE,,,,
Belgium,BEL,2019,8.076,BE,,,,
Belgium,BEL,2020,8.717,BE,0.0,272.0,,
Belgium,,2021,,,75.75,155101.0,,
Belgium,,2022,,,78.61,118967.0,,
Belgium,,2023,,,78.68,55472.0,,
Belgium,,2024,,,78.68,368.0,,
Belize,,2021,,,49.13,4569.0,,
Belize,,2022,,,54.59,1244.0,,
Belize,,2023,,,54.63,400.0,,
Benin,,2021,,,9.88,60281.0,,
Benin,,2022,,,20.54,22068.0,,
Bermuda,,2021,,,70.42,1224.0,,
Bermuda,,2022,,,74.22,546.0,,
Bhutan,,2021,,,72.22,91636.0,,
Bhutan,,2022,,,86.61,33832.0,,
Bolivia,,2021,,,37.58,80071.0,,
Bolivia,,2022,,,50.4,107780.0,,
Bonaire Sint Eustatius and Saba,,2021,,,61.87,196.0,,
Bosnia and Herzegovina,,2021,,,22.29,17247.0,,
Bosnia and Herzegovina,,2022,,,26.17,4315.0,,
Botswana,,2021,,,39.31,15933.0,,
Botswana,,2022,,,54.22,56751.0,,
Botswana,,2023,,,63.24,1444.0,,
Brazil,BRA,2000,3.47,BR,,,,
Brazil,BRA,2001,3.513,BR,,,,
Brazil,BRA,2002,3.686,BR,,,,
Brazil,BRA,2003,3.51,BR,,,,
Brazil,BRA,2004,3.467,BR,,,,
Brazil,BRA,2005,3.345,BR,,,,
Brazil,BRA,2006,3.542,BR,,,,
Brazil,BRA,2007,3.485,BR,,,,
Brazil,BRA,2008,3.505,BR,,,,
Brazil,BRA,2009,3.708,BR,,,,
Brazil,BRA,2010,3.577,BR,,,,
Brazil,BRA,2011,3.467,BR,,,,
Brazil,BRA,2012,3.356,BR,,,,
Brazil,BRA,2013,3.556,BR,,,,
Brazil,BRA,2014,3.709,BR,,,,
Brazil,BRA,2015,3.861,BR,,,,
Brazil,BRA,2016,3.952,BR,,,,
Brazil,BRA,2017,3.96,BR,,,,
Brazil,BRA,2018,3.897,BR,,,,
Brazil,BRA,2019,3.93,BR,,,,
Brazil,BRA,2020,4.18,BR,,,,
Brazil,,2021,,,66.62,1941268.0,,
Brazil,,2022,,,81.22,1780427.0,,
Brazil,,2023,,,81.82,283507.0,,
British Virgin Islands,,2021,,,54.27,343.0,,
British Virgin Islands,,2022,,,58.28,265.0,,
Brunei,,2021,,,89.24,7901.0,,
Brunei,,2022,,,99.32,5941.0,,
Brunei,,2023,,,99.49,226.0,,
Bulgaria,BGR,2003,4.393,BU,,,,
Bulgaria,BGR,2004,4.117,BU,,,,
Bulgaria,BGR,2005,4.128,BU,,,,
Bulgaria,BGR,2006,3.659,BU,,,,
Bulgaria,BGR,2007,3.457,BU,,,,
Bulgaria,BGR,2008,3.532,BU,,,,
Bulgaria,BGR,2009,3.583,BU,,,,
Bulgaria,BGR,2010,3.932,BU,,,,
Bulgaria,BGR,2011,3.86,BU,,,,
Bulgaria,BGR,2012,3.845,BU,,,,
Bulgaria,BGR,2013,4.056,BU,,,,
Bulgaria,BGR,2014,4.493,BU,,,,
Bulgaria,BGR,2015,4.15,BU,,,,
Bulgaria,BGR,2016,4.129,BU,,,,
Bulgaria,BGR,2017,4.224,BU,,,,
Bulgaria,BGR,2018,4.337,BU,,,,
Bulgaria,BGR,2019,4.313,BU,,,,
Bulgaria,BGR,2020,5.327,BU,,2889.0,,
Bulgaria,,2021,,,28.24,27038.0,,
Bulgaria,,2022,,,30.59,24996.0,,
Bulgaria,,2023,,,30.64,3294.0,,
Bulgaria,,2024,,,30.64,80.0,,
Burkina Faso,,2021,,,2.86,39484.0,,
Burkina Faso,,2022,,,14.71,38038.0,,
Burkina Faso,,2023,,,23.08,29215.0,,
Burundi,,2021,,,0.03,410.0,,
Burundi,,2022,,,0.22,190.0,,
Burundi,,2023,,,0.28,252.0,,
Cambodia,,2021,,,81.46,289014.0,,
Cambodia,,2022,,,87.11,593431.0,,
Cambodia,,2023,,,87.63,29246.0,,
Cambodia,,2024,,,,,1.0,0.0
Cameroon,,2021,,,2.36,47269.0,,
Cameroon,,2022,,,9.78,232219.0,,
Cameroon,,2023,,,11.45,12860.0,,
Canada,CAN,2000,5.771,CA,,,,
Canada,CAN,2001,6.012,CA,,,,
Canada,CAN,2002,6.135,CA,,,,
Canada,CAN,2003,6.303,CA,,,,
Canada,CAN,2004,6.335,CA,,,,
Canada,CAN,2005,6.312,CA,,,,
Canada,CAN,2006,6.488,CA,,,,
Canada,CAN,2007,6.575,CA,,,,
Canada,CAN,2008,6.701,CA,,,,
Canada,CAN,2009,7.523,CA,,,,
Canada,CAN,2010,7.483,CA,,,,
Canada,CAN,2011,7.313,CA,,,,
Canada,CAN,2012,7.438,CA,,,,
Canada,CAN,2013,7.405,CA,,,,
Canada,CAN,2014,7.279,CA,,,,
Canada,CAN,2015,7.631,CA,,,,
Canada,CAN,2016,7.727,CA,,,,
Canada,CAN,2017,7.609,CA,,,,
Canada,CAN,2018,7.605,CA,,,,
Canada,CAN,2019,7.683,CA,,,,
Canada,CAN,2020,9.615,CA,0.0,7200.0,,
Canada,,2021,,,76.55,545858.0,,
Canada,,2022,,,82.52,384186.0,,
Canada,,2023,,,82.59,84021.0,,
Canada,,2024,,,,14240.0,,
Cape Verde,,2021,,,43.15,6701.0,,
Cape Verde,,2022,,,52.05,2880.0,,
Cayman Islands,,2020,,,,275.0,,
Cayman Islands,,2021,,,82.78,1024.0,,
Cayman Islands,,2022,,,88.09,226.0,,
Cayman Islands,,2023,,,88.32,20.0,,
Central African Republic,,2021,,,6.0,18602.0,,
Central African Republic,,2022,,,34.68,25469.0,,
Central African Republic,,2023,,,44.54,11116.0,,
Chad,,2021,,,0.46,4722.0,,
Chad,,2022,,,20.45,141029.0,,
Chad,,2023,,,28.33,153584.0,,
Chile,CHL,2000,3.733,CI,,,,
Chile,CHL,2001,3.742,CI,,,,
Chile,CHL,2002,3.807,CI,,,,
Chile,CHL,2003,3.786,CI,,,,
Chile,CHL,2004,3.662,CI,,,,
Chile,CHL,2005,3.506,CI,,,,
Chile,CHL,2006,3.285,CI,,,,
Chile,CHL,2007,3.416,CI,,,,
Chile,CHL,2008,3.801,CI,,,,
Chile,CHL,2009,4.638,CI,,,,
Chile,CHL,2010,4.025,CI,,,,
Chile,CHL,2011,4.043,CI,,,,
Chile,CHL,2012,4.211,CI,,,,
Chile,CHL,2013,4.437,CI,,,,
Chile,CHL,2014,4.622,CI,,,,
Chile,CHL,2015,4.906,CI,,,,
Chile,CHL,2016,5.006,CI,,,,
Chile,CHL,2017,5.468,CI,,,,
Chile,CHL,2018,5.565,CI,,,,
Chile,CHL,2019,5.68,CI,,,,
Chile,CHL,2020,6.33,CI,,4779.0,,
Chile,,2021,,,84.41,298755.0,,
Chile,,2022,,,90.27,163834.0,,
Chile,,2023,,,90.29,14791.0,,
China,CHN,2000,0.976,CH,,,,
China,CHN,2001,0.959,CH,,,,
China,CHN,2002,1.095,CH,,,,
China,CHN,2003,1.233,CH,,,,
China,CHN,2004,1.276,CH,,,,
China,CHN,2005,1.352,CH,,,,
China,CHN,2006,1.371,CH,,,,
China,CHN,2007,1.415,CH,,,,
China,CHN,2008,1.703,CH,,,,
China,CHN,2009,2.107,CH,,,,
China,CHN,2010,2.14,CH,,,,
China,CHN,2011,2.278,CH,,,,
China,CHN,2012,2.505,CH,,,,
China,CHN,2013,2.657,CH,,,,
China,CHN,2014,2.752,CH,,,,
China,CHN,2015,2.928,CH,,,,
China,CHN,2016,2.835,CH,,,,
China,CHN,2017,2.809,CH,,,,
China,CHN,2018,2.862,CH,,,,
China,CHN,2019,2.957,CH,,,,
China,CHN,2020,3.038,CH,,187500.0,,
China,,2021,,,84.68,22424286.0,,
China,,2022,,,89.35,11882143.0,,
China,,2023,,,89.54,952714.0,,
China,,2024,,,,,1.0,0.0
Cholera in Liberia,,2021,,,,,0.0,0.0
Cholera in the Comoros Islands,,2021,,,,,0.0,0.0
CoV) - update,,2013,,,,,0.0,0.0
CoV) – Saudi Arabia,,2021,,,,,2.0,0.0
CoV) – update,,2014,,,,,0.0,0.0
Colombia,COL,2000,4.312,CO,,,,
Colombia,COL,2001,4.577,CO,,,,
Colombia,COL,2002,4.495,CO,,,,
Colombia,COL,2003,4.608,CO,,,,
Colombia,COL,2004,4.407,CO,,,,
Colombia,COL,2005,4.499,CO,,,,
Colombia,COL,2006,4.712,CO,,,,
Colombia,COL,2007,4.749,CO,,,,
Colombia,COL,2008,4.911,CO,,,,
Colombia,COL,2009,5.438,CO,,,,
Colombia,COL,2010,5.29,CO,,,,
Colombia,COL,2011,5.15,CO,,,,
Colombia,COL,2012,4.984,CO,,,,
Colombia,COL,2013,5.304,CO,,,,
Colombia,COL,2014,5.474,CO,,,,
Colombia,COL,2015,5.741,CO,,,,
Colombia,COL,2016,5.731,CO,,,,
Colombia,COL,2017,5.882,CO,,,,
Colombia,COL,2018,5.905,CO,,,,
Colombia,COL,2019,5.994,CO,,,,
Colombia,COL,2020,6.73,CO,,,,
Colombia,,2021,,,54.6,414465.0,,
Colombia,,2022,,,71.09,278525.0,,
Colombia,,2023,,,71.72,15599.0,,
Comoros,,2021,,,29.41,5633.0,,
Comoros,,2022,,,47.45,7718.0,,
Congo,,2021,,,2.28,7088.0,,
Congo,,2022,,,10.96,2283.0,,
Cook Islands,,2021,,,73.38,812.0,,
Cook Islands,,2022,,,86.4,1433.0,,
Cook Islands,,2023,,,86.47,1.0,,
Costa Rica,CRI,2004,4.431,CS,,,,
Costa Rica,CRI,2005,4.321,CS,,,,
Costa Rica,CRI,2006,4.641,CS,,,,
Costa Rica,CRI,2007,4.685,CS,,,,
Costa Rica,CRI,2008,5.121,CS,,,,
Costa Rica,CRI,2009,5.638,CS,,,,
Costa Rica,CRI,2010,5.871,CS,,,,
Costa Rica,CRI,2011,5.919,CS,,,,
Costa Rica,CRI,2012,5.766,CS,,,,
Costa Rica,CRI,2013,5.751,CS,,,,
Costa Rica,CRI,2014,5.59,CS,,,,
Costa Rica,CRI,2015,5.682,CS,,,,
Costa Rica,CRI,2016,5.494,CS,,,,
Costa Rica,CRI,2017,5.282,CS,,,,
Costa Rica,CRI,2018,5.379,CS,,,,
Costa Rica,CRI,2019,5.339,CS,,,,
Costa Rica,CRI,2020,5.931,CS,,240.0,,
Costa Rica,,2021,,,67.66,87355.0,,
Costa Rica,,2022,,,82.82,57857.0,,
Costa Rica,,2023,,,84.35,7965.0,,
Cote d'Ivoire,,2021,,,7.68,121105.0,,
Cote d'Ivoire,,2022,,,41.41,119128.0,,
Cote d'Ivoire,,2023,,,43.2,30255.0,,
Croatia,HRV,2003,5.189,HR,,,,
Croatia,HRV,2004,5.261,HR,,,,
Croatia,HRV,2005,5.878,HR,,,,
Croatia,HRV,2006,5.921,HR,,,,
Croatia,HRV,2007,6.404,HR,,,,
Croatia,HRV,2008,6.481,HR,,,,
Croatia,HRV,2009,6.838,HR,,,,
Croatia,HRV,2010,6.792,HR,,,,
Croatia,HRV,2011,5.921,HR,,,,
Croatia,HRV,2012,6.049,HR,,,,
Croatia,HRV,2013,5.408,HR,,,,
Croatia,HRV,2014,5.445,HR,,,,
Croatia,HRV,2015,5.5,HR,,,,
Croatia,HRV,2016,5.522,HR,,,,
Croatia,HRV,2017,5.471,HR,,,,
Croatia,HRV,2018,5.505,HR,,,,
Croatia,HRV,2019,5.559,HR,,,,
Croatia,HRV,2020,6.469,HR,,1105.0,,
Croatia,,2021,,,48.47,35538.0,,
Croatia,,2022,,,55.84,18595.0,,
Croatia,,2023,,,55.87,292.0,,
Cuba,,2021,,,86.27,321878.0,,
Cuba,,2022,,,89.22,183021.0,,
Cuba,,2023,,,89.47,38967.0,,
Cuba,,2024,,,89.67,1952.0,,
Curacao,,2021,,,50.54,3452.0,,
Curacao,,2022,,,52.29,1741.0,,
Curacao,,2023,,,52.77,24.0,,
Cyprus,CYP,2003,2.496,CY,,,,
Cyprus,CYP,2004,2.248,CY,,,,
Cyprus,CYP,2005,2.244,CY,,,,
Cyprus,CYP,2006,2.336,CY,,,,
Cyprus,CYP,2007,2.301,CY,,,,
Cyprus,CYP,2008,2.528,CY,,,,
Cyprus,CYP,2009,2.778,CY,,,,
Cyprus,CYP,2010,2.999,CY,,,,
Cyprus,CYP,2011,3.077,CY,,,,
Cyprus,CYP,2012,3.029,CY,,,,
Cyprus,CYP,2013,3.193,CY,,,,
Cyprus,CYP,2014,2.984,CY,,,,
Cyprus,CYP,2015,2.862,CY,,,,
Cyprus,CYP,2016,2.787,CY,,,,
Cyprus,CYP,2017,2.748,CY,,,,
Cyprus,CYP,2018,2.869,CY,,,,
Cyprus,CYP,2019,3.83,CY,,,,
Cyprus,CYP,2020,6.329,CY,,,,
Cyprus,,2021,,,67.84,12513.0,,
Cyprus,,2022,,,72.1,7036.0,,
Cyprus,,2023,,,72.11,17.0,,
Czechia,CZE,2000,5.091,EZ,,,,
Czechia,CZE,2001,5.214,EZ,,,,
Czechia,CZE,2002,5.532,EZ,,,,
Czechia,CZE,2003,5.812,EZ,,,,
Czechia,CZE,2004,5.623,EZ,,,,
Czechia,CZE,2005,5.502,EZ,,,,
Czechia,CZE,2006,5.321,EZ,,,,
Czechia,CZE,2007,5.073,EZ,,,,
Czechia,CZE,2008,5.204,EZ,,,,
Czechia,CZE,2009,6.05,EZ,,,,
Czechia,CZE,2010,6.376,EZ,,,,
Czechia,CZE,2011,6.344,EZ,,,,
Czechia,CZE,2012,6.406,EZ,,,,
Czechia,CZE,2013,6.316,EZ,,,,
Czechia,CZE,2014,6.357,EZ,,,,
Czechia,CZE,2015,6.178,EZ,,,,
Czechia,CZE,2016,6.213,EZ,,,,
Czechia,CZE,2017,6.146,EZ,,,,
Czechia,CZE,2018,6.266,EZ,,,,
Czechia,CZE,2019,6.355,EZ,,,,
Czechia,CZE,2020,7.915,EZ,0.0,3093.0,,
Czechia,,2021,,,63.48,98393.0,,
Czechia,,2022,,,65.69,75918.0,,
Czechia,,2023,,,65.71,7901.0,,
Czechia,,2024,,,65.71,830.0,,
